Frequency (Hz)	Level (dB)
5857.031250	-100.953232
5878.564453	-100.794258
5900.097656	-100.681816
5921.630859	-100.378036
5943.164062	-99.724747
5964.697266	-100.424774
5986.230469	-100.552597
6007.763672	-100.699242
6029.296875	-100.224579
6050.830078	-99.301575
6072.363281	-99.663574
6093.896484	-99.477203
6115.429688	-97.283943
6136.962891	-77.311310
6158.496094	-70.145981
6180.029297	-74.900749
6201.562500	-96.021942
6223.095703	-99.158493
6244.628906	-100.186882
6266.162109	-99.898155
6287.695312	-99.898079
6309.228516	-100.123749
6330.761719	-100.431343
6352.294922	-99.967957
6373.828125	-98.393181
6395.361328	-98.690498
6416.894531	-99.926086
6438.427734	-99.209503
6459.960938	-98.603149
6481.494141	-99.119415
6503.027344	-97.626442
6524.560547	-97.344490
6546.093750	-95.790627
6567.626953	-85.001312
6589.160156	-70.945709
6610.693359	-70.592216
6632.226562	-83.503052
6653.759766	-96.996101
6675.292969	-98.940712
6696.826172	-99.369240
6718.359375	-100.102310
6739.892578	-100.219673
6761.425781	-99.738960
6782.958984	-99.570984
6804.492188	-98.091980
6826.025391	-96.787453
6847.558594	-99.795097
6869.091797	-100.636559
6890.625000	-100.238564
6912.158203	-99.844177
6933.691406	-99.058548
6955.224609	-98.685486
6976.757812	-98.616257
6998.291016	-96.891273
7019.824219	-82.662682
7041.357422	-77.541084
7062.890625	-83.738441
7084.423828	-97.396858
7105.957031	-99.742798
7127.490234	-100.114426
7149.023438	-100.215126
7170.556641	-100.557693
7192.089844	-100.580086
7213.623047	-100.663513
7235.156250	-100.462440
7256.689453	-99.411140
7278.222656	-99.921425
7299.755859	-100.624504
7321.289062	-100.932571
7342.822266	-100.691788
7364.355469	-100.347939
7385.888672	-100.351303
7407.421875	-100.061897
7428.955078	-99.579285
7450.488281	-90.708405
7472.021484	-80.029015
7493.554688	-81.254570
7515.087891	-94.133682
7536.621094	-98.910095
7558.154297	-99.895584
7579.687500	-100.097794
7601.220703	-100.554977
7622.753906	-100.649025
7644.287109	-100.388901
7665.820312	-100.616280
7687.353516	-98.698235
7708.886719	-98.033775
7730.419922	-100.224747
7751.953125	-100.526390
7773.486328	-100.492348
7795.019531	-100.376259
7816.552734	-100.281967
7838.085938	-100.366028
7859.619141	-100.411545
7881.152344	-99.239494
7902.685547	-86.088890
7924.218750	-82.253189
7945.751953	-89.751625
7967.285156	-100.034554
7988.818359	-100.783058
8010.351562	-100.566582
8031.884766	-100.588379
8053.417969	-100.640282
8074.951172	-100.564575
8096.484375	-100.378799
8118.017578	-100.338539
8139.550781	-99.554352
8161.083984	-100.042496
8182.617188	-100.391472
8204.150391	-100.457588
8225.683594	-100.074463
8247.216797	-100.296944
8268.750000	-100.229355
8290.283203	-100.107925
8311.816406	-99.283241
8333.349609	-90.505859
8354.882812	-81.277817
8376.416016	-83.808075
8397.949219	-97.419235
8419.482422	-99.713188
8441.015625	-100.178406
8462.548828	-99.959946
8484.082031	-100.238228
8505.615234	-100.246025
8527.148438	-100.500992
8548.681641	-100.360870
8570.214844	-98.650345
8591.748047	-98.562141
8613.281250	-100.565315
8634.814453	-100.919403
8656.347656	-100.724556
8677.880859	-100.078056
8699.414062	-100.001488
8720.947266	-100.117531
8742.480469	-99.753403
8764.013672	-96.855064
8785.546875	-84.326981
8807.080078	-82.215134
8828.613281	-91.189034
8850.146484	-98.665657
8871.679688	-100.002937
8893.212891	-100.027985
8914.746094	-100.057472
8936.279297	-100.457794
8957.812500	-100.360153
8979.345703	-100.167770
9000.878906	-99.727089
9022.412109	-98.991211
9043.945312	-99.967499
9065.478516	-100.518578
9087.011719	-100.765633
9108.544922	-100.564240
9130.078125	-100.583862
9151.611328	-100.436638
9173.144531	-100.181992
9194.677734	-99.634323
9216.210938	-83.066269
9237.744141	-75.463493
9259.277344	-79.781105
9280.810547	-98.522041
9302.343750	-99.863953
9323.876953	-100.053696
9345.410156	-100.125252
9366.943359	-100.086731
9388.476562	-100.199120
9410.009766	-100.354462
9431.542969	-100.061844
9453.076172	-98.720169
9474.609375	-99.226669
9496.142578	-100.356369
9517.675781	-100.528824
9539.208984	-100.635994
9560.742188	-100.578644
9582.275391	-100.586555
9603.808594	-100.739540
9625.341797	-100.280495
9646.875000	-95.212517
9668.408203	-82.353645
9689.941406	-81.659843
9711.474609	-92.960869
9733.007812	-99.412003
9754.541016	-100.219254
9776.074219	-100.007515
9797.607422	-99.624672
9819.140625	-100.218567
9840.673828	-100.405128
9862.207031	-100.175438
9883.740234	-97.587814
9905.273438	-95.922348
9926.806641	-99.144363
9948.339844	-100.199989
9969.873047	-100.320099
9991.406250	-100.174469
10012.939453	-99.831284
10034.472656	-99.912033
10056.005859	-99.752777
10077.539062	-99.268913
10099.072266	-85.360832
10120.605469	-79.615761
10142.138672	-85.489525
10163.671875	-99.534088
10185.205078	-100.405319
10206.738281	-100.493225
10228.271484	-100.510391
10249.804688	-100.614883
10271.337891	-100.533562
10292.871094	-100.509712
10314.404297	-100.174606
10335.937500	-99.142906
10357.470703	-99.867584
10379.003906	-100.846565
10400.537109	-101.343987
10422.070312	-101.041298
10443.603516	-100.929085
10465.136719	-100.819893
10486.669922	-100.991608
10508.203125	-100.831505
10529.736328	-97.227898
10551.269531	-87.196365
10572.802734	-87.519928
10594.335938	-97.423599
10615.869141	-100.181808
10637.402344	-100.720772
10658.935547	-100.066437
10680.468750	-100.023178
10702.001953	-100.881889
10723.535156	-100.755157
10745.068359	-100.387505
10766.601562	-97.968597
10788.134766	-97.150909
10809.667969	-100.279007
10831.201172	-100.744507
10852.734375	-100.781006
10874.267578	-100.333832
10895.800781	-100.107994
10917.333984	-100.368797
10938.867188	-99.834770
10960.400391	-98.822807
10981.933594	-87.132256
11003.466797	-82.816292
11025.000000	-89.530907
11046.533203	-99.688148
11068.066406	-100.409790
11089.599609	-100.550789
11111.132812	-100.420555
11132.666016	-100.976135
11154.199219	-101.010338
11175.732422	-100.691765
11197.265625	-100.158577
11218.798828	-98.544441
11240.332031	-99.394348
11261.865234	-100.083992
11283.398438	-100.205666
11304.931641	-100.169319
11326.464844	-99.736076
11347.998047	-99.415154
11369.531250	-98.974922
11391.064453	-98.726540
11412.597656	-90.997871
11434.130859	-81.719810
11455.664062	-83.726234
11477.197266	-95.001358
11498.730469	-98.005836
11520.263672	-98.981293
11541.796875	-98.702126
11563.330078	-98.950119
11584.863281	-99.400635
11606.396484	-99.934814
11627.929688	-99.860451
11649.462891	-99.009529
11670.996094	-98.878128
11692.529297	-100.444778
11714.062500	-100.654320
11735.595703	-100.767380
11757.128906	-100.649628
11778.662109	-100.396912
11800.195312	-99.964920
11821.728516	-99.401321
11843.261719	-95.799515
11864.794922	-78.426056
11886.328125	-75.486916
11907.861328	-84.613884
11929.394531	-97.472916
11950.927734	-98.444458
11972.460938	-98.828339
11993.994141	-98.661865
12015.527344	-98.555397
12037.060547	-98.685799
12058.593750	-98.709373
12080.126953	-98.345139
12101.660156	-97.800446
12123.193359	-99.003098
12144.726562	-99.623215
12166.259766	-99.792992
12187.792969	-99.809387
12209.326172	-99.774399
12230.859375	-99.974480
12252.392578	-100.079071
12273.925781	-100.177658
12295.458984	-98.405052
12316.992188	-94.392365
12338.525391	-96.821358
12360.058594	-99.956062
12381.591797	-100.082726
12403.125000	-100.159935
12424.658203	-100.247246
12446.191406	-100.178864
12467.724609	-100.101120
12489.257812	-100.128426
12510.791016	-100.293182
12532.324219	-99.963135
12553.857422	-99.972244
12575.390625	-100.393898
12596.923828	-100.410896
12618.457031	-100.378601
12639.990234	-100.478279
12661.523438	-100.632225
12683.056641	-100.713821
12704.589844	-100.492996
12726.123047	-97.143120
12747.656250	-83.721352
12769.189453	-82.442635
12790.722656	-93.129326
12812.255859	-100.340057
12833.789062	-100.844521
12855.322266	-100.689873
12876.855469	-100.789543
12898.388672	-100.908043
12919.921875	-100.957603
12941.455078	-101.123703
12962.988281	-100.627785
12984.521484	-100.094963
13006.054688	-100.754997
13027.587891	-100.890808
13049.121094	-100.951599
13070.654297	-101.055115
13092.187500	-101.053055
